New York,Los Angeles,Chicago,Minneapolis,Denver,Dallas,Seattle,Boston,San Francisco
-1, 2451, 713, 1018, 1631, 1374, 2408, 213, 2571
2451, -1, 1745, 1524, 831, 1240, 959, 2596, 403
713, 1745, -1, 355, 920, 803, 1737, 851, 1858
1018, 1524, 355, -1, 700, 862, 1395, 1123, 1584
1631, 831, 920, 700, -1, 663, 1021, 1769, 949
1374, 1240, 803, 862, 663, -1, 1681, 1551, 1765
2408, 959, 1737, 1395, 1021, 1681, -1, 2493, 678
213, 2596, 851, 1123, 1769, 1551, 2493, -1, 2699
2571, 403, 1858, 1584, 949, 1765, 678, 2699, -1
New York
